9562,latitude,longitude,type,residential_population
3114,48.6853933281,21.1991238055,dp,2
3115,48.6862440218,21.1991238055,dp,2
3116,48.6896467968,21.1991238055,dp,9
3117,48.6904974906,21.1991238055,dp,8
3118,48.6845426343,21.2004390166,dp,5
3119,48.6853933281,21.2004390166,dp,5
3120,48.6862440218,21.2004390166,dp,3
3121,48.6870947156,21.2004390166,dp,3
3122,48.6887961031,21.2004390166,dp,3
3123,48.6896467968,21.2004390166,dp,3
3124,48.6904974906,21.2004390166,dp,3
3125,48.6913481843,21.2004390166,dp,3
3126,48.6921988781,21.2004390166,dp,1
3127,48.6930495718,21.2004390166,dp,1
3128,48.6939002656,21.2004390166,dp,1
3129,48.6845426343,21.2017542277,dp,6
3130,48.6853933281,21.2017542277,dp,5
3131,48.6862440218,21.2017542277,dp,5
3132,48.6870947156,21.2017542277,dp,3
3133,48.6879454093,21.2017542277,dp,3
3134,48.6887961031,21.2017542277,dp,3
3135,48.6896467968,21.2017542277,dp,5
3136,48.6904974906,21.2017542277,dp,4
3137,48.6913481843,21.2017542277,dp,3
3138,48.6921988781,21.2017542277,dp,3
3139,48.6930495718,21.2017542277,dp,2
3140,48.6939002656,21.2017542277,dp,2
3141,48.6947509593,21.2017542277,dp,1
3142,48.6845426343,21.2030694388,dp,6
3143,48.6853933281,21.2030694388,dp,3
3144,48.6862440218,21.2030694388,dp,5
3145,48.6870947156,21.2030694388,dp,5
3146,48.6879454093,21.2030694388,dp,3
3147,48.6887961031,21.2030694388,dp,5
3148,48.6896467968,21.2030694388,dp,6
3149,48.6904974906,21.2030694388,dp,5
3150,48.6913481843,21.2030694388,dp,5
3151,48.6921988781,21.2030694388,dp,3
3152,48.6930495718,21.2030694388,dp,3
3153,48.6939002656,21.2030694388,dp,2
3154,48.6947509593,21.2030694388,dp,5
3155,48.6853933281,21.2043846499,dp,7
3156,48.6862440218,21.2043846499,dp,3
3157,48.6870947156,21.2043846499,dp,3
3158,48.6879454093,21.2043846499,dp,5
3159,48.6887961031,21.2043846499,dp,6
3160,48.6896467968,21.2043846499,dp,6
3161,48.6904974906,21.2043846499,dp,6
3162,48.6913481843,21.2043846499,dp,5
3163,48.6921988781,21.2043846499,dp,3
3164,48.6930495718,21.2043846499,dp,3
3165,48.6939002656,21.2043846499,dp,3
3166,48.6947509593,21.2043846499,dp,6
3167,48.6870947156,21.2056998611,dp,6
3168,48.6879454093,21.2056998611,dp,5
3169,48.6887961031,21.2056998611,dp,6
3170,48.6896467968,21.2056998611,dp,6
3171,48.6904974906,21.2056998611,dp,6
3172,48.6913481843,21.2056998611,dp,5
3173,48.6921988781,21.2056998611,dp,3
3174,48.6930495718,21.2056998611,dp,3
3175,48.6939002656,21.2056998611,dp,3
3176,48.6947509593,21.2056998611,dp,3
3177,48.6956016531,21.2056998611,dp,27
3178,48.6862440218,21.2070150722,dp,15
3179,48.6870947156,21.2070150722,dp,3
3180,48.6879454093,21.2070150722,dp,5
3181,48.6887961031,21.2070150722,dp,6
3182,48.6896467968,21.2070150722,dp,6
3183,48.6904974906,21.2070150722,dp,6
3184,48.6913481843,21.2070150722,dp,5
3185,48.6921988781,21.2070150722,dp,3
3186,48.6930495718,21.2070150722,dp,3
3187,48.6939002656,21.2070150722,dp,3
3188,48.6947509593,21.2070150722,dp,3
3189,48.6956016531,21.2070150722,dp,2
3190,48.6862440218,21.2083302833,dp,8
3191,48.6870947156,21.2083302833,dp,6
3192,48.6879454093,21.2083302833,dp,7
3193,48.6887961031,21.2083302833,dp,7
3194,48.6896467968,21.2083302833,dp,7
3195,48.6904974906,21.2083302833,dp,7
3196,48.6913481843,21.2083302833,dp,6
3197,48.6921988781,21.2083302833,dp,3
3198,48.6930495718,21.2083302833,dp,3
3199,48.6939002656,21.2083302833,dp,3
